baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026202.13	1810.79389964117	2.18151249184949	0.128700947594876	16.9502442104501	1.91656052643908e-64	2.07560494708861e-62
ENSMUSG00000041235.12	258.323197757532	2.95769462215985	0.174780928700395	16.9222960660076	3.08178321633089e-64	3.32013988696899e-62
ENSMUSG00000028766.10	185.311993854322	4.67853693652458	0.276518579144087	16.9194306979522	3.23542752007245e-64	3.46760716335226e-62
ENSMUSG00000074743.4	2624.3481095906	-1.55688445228806	0.0921866616785749	-16.8883917037414	5.47758902504947e-64	5.84040871047157e-62
ENSMUSG00000030411.16	265.122456164615	3.43752290726776	0.203636539805008	16.8806782444808	6.24235118294283e-64	6.62169406252166e-62
ENSMUSG00000035834.11	552.632332158504	2.84886675158205	0.168816905253206	16.8754826260384	6.8165581720073e-64	7.19390335652913e-62
ENSMUSG00000029168.14	536.566575432725	8.48353554590983	0.503036316188515	16.8646582222715	8.1874323084092e-64	8.59680392382967e-62
ENSMUSG00000001021.13	202.401052615219	5.76678850259681	0.342414876681791	16.8415244059502	1.21076783698984e-63	1.26488549030984e-61
ENSMUSG00000034730.17	368.898806274036	7.41063608425848	0.44008904139109	16.8389470931473	1.26466754041272e-63	1.31455517956971e-61
ENSMUSG00000032561.15	197.097609579402	4.83730199164939	0.287894045962023	16.8023689947637	2.34488520172226e-63	2.42519751988125e-61
ENSMUSG00000029246.14	914.479654658718	2.06108198902624	0.12270273194616	16.7973602244702	2.55149427118845e-63	2.62575417908125e-61
ENSMUSG00000021696.9	310.372114736242	3.56095293360178	0.21206637013831	16.7916908809224	2.8073144930882e-63	2.87471783611532e-61
ENSMUSG00000028518.8	722.82456300707	2.6035689702543	0.155107574583079	16.7855694813909	3.1122947510554e-63	3.1713210308168e-61
ENSMUSG00000003469.9	246.033900391189	6.51891194822979	0.389644038639318	16.7304290628816	7.8669526730177e-63	7.97685862947898e-61
ENSMUSG00000049493.13	201.082699897361	4.75725320723454	0.285463357314679	16.6650222711085	2.35400905966459e-62	2.37525255605668e-60
ENSMUSG00000025558.19	2159.5802040131	1.87383438529463	0.112605403782816	16.6407145869192	3.53375785080122e-62	3.54833889047685e-60
ENSMUSG00000078695.8	447.691586468552	2.4809627554217	0.149095027672409	16.6401441694813	3.56758136912984e-62	3.56499616523917e-60
